trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
187,0,187,0,10,435.4353173999989,435.4353173999989,0.036114200003794394,[-0.23958333333333334],[-0.19661458333333334],[1],[0],[0],[2.3889474000025075],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
188,0,188,0,5,437.8410866999984,437.8410866999984,0.01852550000330666,[0.11848958333333333],[0.2734375],[1],[0],[0],[1.6929422000030172],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
189,0,189,0,5,439.5595642999979,439.5595642999979,0.019385300001886208,[-0.125],[0.04296875],[1],[0],[0],[1.8228952999998],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
190,0,190,0,10,441.42210219999833,441.42210219999833,0.032603100000415,[-0.33984375],[0.2552083333333333],[1],[0],[0],[2.5926656000010553],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
191,0,191,0,10,444.05310279999685,444.05310279999685,0.03306690000317758,[-0.044270833333333336],[-0.3841145833333333],[1],[0],[0],[2.2760143999985303],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
192,0,192,0,5,446.34164639999653,446.34164639999653,0.016219100005400833,[-0.026041666666666668],[0.24609375],[1],[0],[0],[2.310619799995038],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
193,0,193,0,10,448.6905992999964,448.6905992999964,0.030271800002083182,[-0.22916666666666666],[0.18489583333333334],[1],[0],[0],[1.5476079000000027],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
194,0,194,0,10,450.2772954999964,450.2772954999964,0.03420609999739099,[0.3450520833333333],[-0.16145833333333334],[1],[0],[0],[2.2406524999969406],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
195,0,195,0,10,452.5532783000017,452.5532783000017,0.03168050000385847,[0.41015625],[0.4348958333333333],[1],[0],[0],[2.328631199998199],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
196,0,196,0,5,454.89660909999657,454.89660909999657,0.016640100002405234,[-0.19401041666666666],[0.2682291666666667],[1],[0],[0],[1.92640499999834],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
197,0,197,0,5,456.8448281999954,456.8448281999954,0.01710280000406783,[0.3216145833333333],[-0.3854166666666667],[1],[0],[0],[1.9086067999960505],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
198,0,198,0,5,458.77592880000157,458.77592880000157,0.01737680000223918,[0.4856770833333333],[-0.2747395833333333],[1],[0],[0],[2.574653200004832],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
199,0,199,0,10,461.39718809999613,461.39718809999613,0.03740819999802625,[0.44921875],[0.16015625],[1],[0],[0],[2.137309000005189],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
